total_lines,blank_line_ratio,avg_line_length,long_line_ratio,comment_density,num_functions,num_classes,num_loops,num_conditionals,num_try_except,import_count,assertion_count,avg_function_length,max_function_length,docstring_ratio,avg_identifier_length,single_char_var_ratio,type_annotation_ratio,magic_number_count,nested_function_count,ast_parse_success,avg_cyclomatic_complexity,max_cyclomatic_complexity,maintainability_index,label
63,0.1587,34.57,0.0952,0.0,1,1,0,1,0,3,0,28.0,28,1.0,6.3,0.087,1.0,10,0,1,2.5,4,81.04,human
67,0.1343,36.83,0.0299,0.0,2,0,3,4,0,2,0,20.0,30,1.0,8.64,0.2542,1.0,3,0,1,4.0,6,78.56,human
119,0.1681,39.08,0.0588,0.101,2,0,5,3,0,2,0,40.5,61,1.0,9.18,0.2273,1.0,7,0,1,5.5,9,72.8,human
110,0.2,38.45,0.0182,0.0682,2,0,6,4,0,2,0,37.0,55,1.0,10.32,0.2088,1.0,5,0,1,5.5,9,73.53,human
153,0.1634,35.68,0.0261,0.0469,3,0,6,5,0,2,0,34.0,62,1.0,9.63,0.1642,1.0,2,0,1,4.67,10,68.07,human
208,0.1346,43.59,0.1058,0.2111,5,0,4,7,0,2,0,32.4,98,1.0,8.42,0.0805,1.0,9,0,1,4.8,15,60.65,human
109,0.156,34.99,0.0,0.0,3,0,1,9,0,1,0,31.33,49,1.0,6.79,0.093,1.0,0,0,1,5.0,9,64.02,human
105,0.0857,32.07,0.0,0.0,1,0,3,10,0,2,1,83.0,83,1.0,5.53,0.0526,1.0,7,0,1,12.0,12,67.78,human
87,0.1149,36.44,0.0115,0.0,1,1,0,3,0,2,0,39.0,39,1.0,10.42,0.0,1.0,14,0,1,2.0,3,77.94,human
71,0.1408,27.85,0.0282,0.0,1,0,0,2,0,1,0,41.0,41,1.0,10.29,0.0,1.0,7,0,1,3.0,3,74.91,human
43,0.2093,34.35,0.0233,0.0882,2,0,1,1,0,1,0,14.5,16,1.0,7.59,0.0,1.0,7,0,1,1.5,2,84.07,human
104,0.125,25.98,0.0096,0.0,2,2,0,5,0,3,0,26.5,27,1.0,8.0,0.0,1.0,24,0,1,2.0,3,74.13,human
85,0.2471,33.69,0.0235,0.0156,3,0,2,4,0,1,0,24.0,35,1.0,7.6,0.12,1.0,8,0,1,3.33,5,61.77,human
32,0.2188,29.44,0.0,0.0,1,0,0,1,0,2,0,23.0,23,1.0,3.75,0.0,1.0,0,0,1,1.0,1,71.24,human
49,0.1224,34.23,0.0204,0.0233,1,0,1,4,0,1,0,40.0,40,1.0,8.74,0.1111,1.0,2,0,1,7.0,7,71.6,human
159,0.1384,41.09,0.0314,0.0,3,0,0,14,0,0,0,47.0,67,1.0,8.16,0.0,1.0,40,0,1,10.33,17,56.39,human
205,0.1171,30.3,0.0195,0.0,3,2,1,9,0,3,0,40.33,61,1.0,7.29,0.0,1.0,44,0,1,5.0,8,70.31,human
114,0.0789,39.79,0.0175,0.0,1,0,0,2,0,1,0,64.0,64,1.0,10.5,0.0,1.0,10,0,1,3.0,3,49.67,human
56,0.1607,30.72,0.0179,0.0213,1,0,1,3,1,1,0,50.0,50,1.0,7.6,0.0,1.0,1,0,1,6.0,6,73.54,human
71,0.2676,37.13,0.0986,0.0192,1,0,0,4,0,1,0,65.0,65,1.0,3.0,0.6341,1.0,11,0,1,8.0,8,72.93,human
121,0.1488,29.71,0.0,0.0097,4,2,2,3,0,4,0,13.5,14,1.0,5.96,0.0147,1.0,25,0,1,3.0,4,70.16,human
319,0.0408,33.92,0.0063,0.0,1,0,0,2,0,1,0,252.0,252,1.0,10.35,0.0,1.0,26,0,1,3.0,3,41.65,human
54,0.1852,31.45,0.0,0.0,1,0,2,3,0,1,0,38.0,38,1.0,9.11,0.0526,1.0,1,0,1,5.0,5,75.21,human
45,0.1778,31.11,0.0,0.0,1,0,3,3,0,1,0,19.0,19,0.0,8.21,0.0,1.0,3,0,1,9.0,9,82.95,human
79,0.0506,31.05,0.0127,0.0,1,0,1,5,0,1,0,73.0,73,1.0,10.0,0.0,1.0,2,0,1,8.0,8,40.51,human
91,0.2088,36.03,0.033,0.0,4,0,0,1,0,1,0,17.5,20,1.0,6.92,0.0,1.0,3,0,1,1.0,1,29.88,human
33,0.1818,25.11,0.0,0.0,1,0,1,1,0,1,1,27.0,27,1.0,6.62,0.0,1.0,2,0,1,3.0,3,86.43,human
61,0.1148,29.28,0.0492,0.0,2,0,2,3,0,1,0,18.0,21,1.0,5.14,0.0,1.0,18,0,1,3.5,4,80.01,human
65,0.2154,30.61,0.0,0.0196,1,0,3,5,0,1,1,45.0,45,1.0,6.19,0.0,1.0,4,0,1,8.0,8,78.15,human
83,0.1205,36.01,0.012,0.0,1,1,0,3,0,2,0,37.0,37,1.0,10.04,0.0,1.0,10,0,1,2.0,3,78.92,human
132,0.1061,32.94,0.0076,0.0,1,1,0,3,0,2,0,68.0,68,1.0,8.88,0.0,1.0,14,0,1,2.0,3,76.03,human
86,0.1279,40.55,0.0581,0.0,1,0,0,3,0,1,0,51.0,51,1.0,8.74,0.0,1.0,10,0,1,6.0,6,69.71,human
106,0.1321,31.95,0.0094,0.0109,1,0,0,4,0,1,0,55.0,55,1.0,11.18,0.0,1.0,9,0,1,4.0,4,81.69,human
